location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,
Location where data was measured,City containing location,Country containing measurement in 2 letter ISO code,Name of the Pollutant being measured. Allowed values: PM25| PM10| SO2| NO2| O3| CO| BC,Latest measured value for the pollutant,The datetime at which the pollutant was measured| in ISO 8601 format,The unit the value was measured in coded by UCUM Code,Name of the source of the data,Latitude in decimal degrees. Precision >3 decimal points.,Longitude in decimal degrees. Precision >3 decimal points.,The number of hours the value was averaged over.,
Bill Stanley,INYO,US,pm10,2.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.3619,-118.0108,1.0,
Coso Junction,INYO,US,pm10,2.0,2017-01-19 21:00:00+00:00,µg/m³,AirNow,36.0494,-117.9439,1.0,
NCore - White Mounta,INYO,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,37.360703,-118.33083,1.0,
NCore - White Mounta,INYO,US,pm25,2.9,2017-01-19 18:00:00+00:00,µg/m³,AirNow,37.360703,-118.33083,1.0,
NCore - White Mounta,INYO,US,pm10,5.0,2017-01-19 18:00:00+00:00,µg/m³,AirNow,37.360703,-118.33083,1.0,
NCore - White Mounta,INYO,US,co,0.13,2019-04-01 19:00:00+00:00,ppm,AirNow,37.360703,-118.33083,1.0,
NCore - White Mounta,INYO,US,o3,0.048,2019-04-01 19:00:00+00:00,ppm,AirNow,37.360703,-118.33083,1.0,
Enoch,IRON,US,pm25,1.2,2019-04-01 19:00:00+00:00,µg/m³,AirNow,37.747444,-113.05553,1.0,
Enoch,IRON,US,no2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,37.747444,-113.05553,1.0,
Enoch,IRON,US,o3,0.052,2019-04-01 19:00:00+00:00,ppm,AirNow,37.747444,-113.05553,1.0,
Buick NE,IRON,US,so2,0.001,2019-04-01 20:00:00+00:00,ppm,AirNow,37.65214,-91.11653,1.0,
Millington,KENT,US,pm25,1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,39.3052,-75.7972,1.0,
Millington,KENT,US,o3,0.05,2019-04-01 19:00:00+00:00,ppm,AirNow,39.3052,-75.7972,1.0,
Lebec,KERN,US,pm25,3.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,34.8416,-118.8647,1.0,
Kernville,KERN,US,pm25,6.3,2019-01-24 03:00:00+00:00,µg/m³,AirNow,35.755,-118.4175,1.0,
Kernville,KERN,US,o3,0.0,2019-02-28 15:00:00+00:00,ppm,AirNow,35.755,-118.4175,1.0,
Arvin - Di Giorgio S,KERN,US,o3,0.049,2019-04-01 19:00:00+00:00,ppm,AirNow,35.239193,-118.7885,1.0,
Bellevue-SE 12th,KING,US,pm25,3.6,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.600864,-122.1484,1.0,
Tukwilla_Allentown,KING,US,pm25,9.1,2018-07-25 13:00:00+00:00,µg/m³,AirNow,47.498535,-122.27838,1.0,
Centerburg,KNOX,US,o3,0.005,2018-07-25 09:00:00+00:00,ppm,AirNow,40.27886,-82.67956,1.0,
Port Clyde,KNOX,US,o3,0.049,2019-04-01 19:00:00+00:00,ppm,AirNow,43.917953,-69.2608,1.0,
Santee Sioux,KNOX,US,o3,0.04,2019-04-01 19:00:00+00:00,ppm,AirNow,42.8292,-97.8541,1.0,
Ely,LAKE,US,pm25,3.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.9464,-91.4953,1.0,
Ely,LAKE,US,o3,0.047,2019-04-01 19:00:00+00:00,ppm,AirNow,47.9464,-91.4953,1.0,
Ronan-MT,LAKE,US,pm10,15.0,2016-09-08 20:00:00+00:00,µg/m³,AirNow,47.8831,-114.1681,1.0,
Polson-MT,LAKE,US,pm10,21.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.6925,-114.0122,1.0,
Lakeview - Center &,LAKE,US,pm25,2.1,2019-04-01 20:00:00+00:00,µg/m³,AirNow,42.189217,-120.353966,1.0,
